Exercise,Counter,Timestamp,Acc_X1,Acc_Y1,Acc_Z1,Acc_X2,Acc_Y2,Acc_Z2,Rotspeed_X,Rotspeed_Y,Rotspeed_Z
1.0,27.0,1.312,-0.0335464451682205,-0.130739228087106,0.324435483407721,0.00988558049539474,-0.0260785252332499,0.0247810614349506,-1.13,0.32,0.69
1.0,28.0,1.365,0.0969759997562438,-0.161623336257908,0.366747161152058,-0.00300255990104517,-0.0782097258462971,0.0593144771975013,-0.94,0.44,0.56
1.0,29.0,1.417,0.0982347407006142,-0.11071925306712,0.364604304544379,0.0119963204523215,-0.0703076244908312,0.0135025715285081,-0.75,0.5,0.19
1.0,30.0,1.471,0.059241743446118,-0.0686463365019139,0.362130778688617,0.0034638803626627,-0.02039354592392,0.0453615216838364,-1.0,-0.25,0.38
1.0,31.0,1.526,0.0567682175903552,-0.159030929312955,0.358091818658387,-0.00332369461893842,-0.056502808521953,0.106358227806029,-0.19,-1.25,0.44
1.0,32.0,1.578,0.0667552280831099,-0.159290669507825,0.357788122430539,-0.000481204964273466,-0.0171434239648086,0.0142472461529726,-0.87,0.69,-0.18
1.0,33.0,1.631,0.0762227581861243,-0.156443517371749,0.337744171392565,0.0343335765108586,0.00210278615586442,0.0246249680891016,-1.0,-0.82,0.19
1.0,34.0,1.683,0.107398574575781,-0.117742228336107,0.343014899346928,-0.0128434002654641,0.0113699586186598,0.0411609204977715,-1.26,-1.06,0.25
1.0,35.0,1.735,-0.0539120744475339,-0.162937022243501,0.340146768195113,-0.0380032614760101,0.0153468591498454,0.00322626055592436,-1.88,-0.31,0.25
1.0,36.0,1.785,0.00835164626582261,-0.108381591313289,0.367337570595012,0.0312604266253848,0.0120450374838286,0.0643979503014893,-1.82,-3.06,0.57
1.0,37.0,1.836,-0.156339621293801,-0.203476472658224,0.295975950055957,-0.0956623538274053,0.0581999508236365,-0.0169406020377181,-2.25,-0.75,0.44
1.0,38.0,1.886,-0.0753778458465476,-0.100519788063983,0.390059960413436,0.0293107511399711,-0.00428312187208695,-0.00416381485615138,-1.31,-0.69,0.38
1.0,39.0,1.937,0.0529868031592642,-0.165135939018955,0.337734892533591,0.00442629029120963,0.0138933020056971,0.0168670293778912,-1.0,-0.87,-0.0600000000000001
1.0,40.0,1.99,-0.0667053152057051,-0.166679321604185,0.35931026152298,-0.162745706212578,0.0285282959604603,0.0427874728150265,-2.44,-1.69,0.38
1.0,41.0,2.043,-0.00622950794764063,-0.11497600499896,0.346393428772754,-0.0617428129250564,-0.0355539740479946,0.0375773303677005,-1.5,-1.63,-1.13
1.0,42.0,2.097,0.0331027575728605,-0.177854850945428,0.356241489154679,0.0215801382711998,0.0404930796572225,0.0498632058402907,-2.62,-0.18,-1.19
1.0,43.0,2.149,0.113852454464116,-0.118086760572301,0.354446207339216,0.0211319453814377,-0.0799530198024096,0.10783181538853,-7.57,-5.75,-0.5
1.0,44.0,2.203,0.00771537008356655,-0.122410542657457,0.264017565699,0.00339291757719164,-0.0279148303199464,-0.0253322838890563,-5.87,-0.94,-1.44
1.0,45.0,2.256,0.00493802459264196,-0.0589524166752332,0.375289869040789,-0.0262940880273434,0.0654620267652493,-0.0433446243682124,-1.62,-0.31,0.44
1.0,46.0,2.307,-0.0665953591925086,-0.109542178746814,0.317676916526313,-0.159477358086925,0.0340069386596928,0.183512229585185,0.31,-4.06,1.44
1.0,47.0,2.361,0.0828228675400693,-0.175401832251026,0.335729694692935,-0.0953157139532169,-0.0660182587709617,0.143455063911429,-6.76,-2.63,-1.13
1.0,48.0,2.412,0.245829658303492,-0.0567792860144228,0.382047165851773,-0.0569733534223347,-0.0526876679579831,0.207658770619489,-6.69,0.94,-3.63
1.0,49.0,2.465,0.246369442368275,-0.14779287693751,0.31715312606345,-0.076175482366975,0.0360959077797593,0.178489688405375,-11.12,6.12,-6.75
1.0,50.0,2.518,-0.0635285860244468,-0.160829661702133,0.309754085975446,0.0890558531510507,0.355051197364031,0.0595391889838909,-17.12,4.57,-8.32
1.0,51.0,2.571,-0.0631367427774193,-0.130621746076699,0.375215898631911,0.1952885132067,0.294241974792397,0.01236881370019,-22.94,-4.81,-7.69
1.0,52.0,2.623,0.646731281618102,-0.121383441767955,0.37586563870989,0.220012077407476,-0.0834151300089362,0.427781728458732,-30.82,-13.69,-2.81
1.0,53.0,2.677,0.67624119442164,-0.244233437956217,0.3244602946218,-0.0273202349420037,0.225774974334331,0.638609740718233,-38.75,-23.63,-8.75
1.0,54.0,2.733,0.493379766663288,0.244410619269054,0.387808490200703,0.603863992538497,-0.0861950776922638,0.409493366495568,-51.01,-15.87,-13.69
1.0,55.0,2.786,0.879709769027111,-0.215333629459913,0.0440899422110344,-0.236172688336404,0.045245884435047,1.09764657920599,-56.0,-27.87,-22.88
1.0,56.0,2.838,0.815309414734108,0.00367922548847163,0.33892231681463,0.138944682557262,0.248683199621987,0.294923635769519,-63.07,-1.19,-33.56
1.0,57.0,2.893,-0.0169908455210616,-0.267352168926444,-0.19140066014222,-0.124746096571528,0.202614945917035,0.551399418176753,-65.31,-34.25,-40.94
1.0,58.0,2.946,-0.372955974887677,-0.317541193417296,-0.0580068503862412,0.034236332805073,0.0141686529165958,0.508506706190486,-53.81,-13.88,-51.12
1.0,59.0,2.999,-0.510641470316361,0.0777279289434362,0.232830954113861,0.513276404049405,-0.371174970916561,-0.667597336699587,-65.07,3.75,-61.44
1.0,60.0,3.056,1.47547650293393,0.946372864027557,0.527853921020541,-0.0248271651135554,1.05658299425371,-0.157211165998818,-60.5,-53.87,-69.63
1.0,61.0,3.109,-1.46304995412816,0.0476032732176172,-0.376329883196128,0.367230907215707,-0.653300237009687,-0.589426268834583,-57.37,-22.0,-57.63
1.0,62.0,3.162,-0.656658900420493,-0.145327616564568,0.26836821813467,-0.869320376784532,0.160025778124007,-0.465320324592766,-53.06,-18.19,-52.5
1.0,63.0,3.215,0.844867787631171,0.0609609627675912,0.0395075481928192,-0.293247386700145,-0.467857670316379,0.0227686151838715,-60.94,-32.75,-38.19
1.0,64.0,3.27,-0.606538675186378,0.00837532497145601,-0.503298049622739,0.202595925004359,-0.600663301679119,-0.335746475074139,-55.13,-38.76,-31.32
1.0,65.0,3.324,-0.735227706015398,-0.655542190424298,-0.331134004452449,-0.607830130911778,-1.1786699611681,-0.771258061344043,-48.5,-22.69,-25.0
1.0,66.0,3.378,0.925016055740569,0.791208391171508,0.0678592701678097,0.359667724423431,0.499620201430152,-0.63707787341197,-57.32,-38.32,-12.13
1.0,67.0,3.436,-0.795771132108332,-0.166013176966788,-0.228348123215505,-0.0235076711610213,-0.528374459139948,-0.178736564683581,-53.25,-29.12,-12.57
1.0,68.0,3.49,-0.141646104808179,0.386045723894046,0.156543944570706,-0.344796114347391,-0.778090823955175,-0.329264614847383,-45.07,-22.0,-12.81
1.0,69.0,3.545,0.329505040955783,0.556013933214474,0.117142548966112,-0.15660098468304,-0.670477103087547,-0.977774552712749,-42.25,-40.01,-19.31
1.0,70.0,3.597,-0.241614628606234,0.0513219422748701,-0.514643706894911,0.267501252769447,-1.35004985640846,-0.441156083626494,-39.63,-15.57,-27.57
